region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
IV-A,CAVITE,AMADEO,1,1,622,4968,5590,622,4968,5590,3203300,32292000,35495300,3203300,32292000,35495300,32292000
BARMM,LANAO DEL SUR,AMAI MANABILANG (BUMBARAN),0.9464023495,0.95197152,935,427,1362,862,427,1289,3412750,2135000,5547750,3146300,2135000,5281300,2135000
II,NUEVA VIZCAYA,AMBAGUIO,0.7390364422,0.724318019,682,2556,3238,682,1711,2393,2830300,14058000,16888300,2822000,9410500,12232500,14058000
VII,NEGROS ORIENTAL,AMLAN (AYUQUITAN),0.9983839109,0.9986980321,941,4628,5569,932,4628,5560,4375650,27768000,32143650,4333800,27768000,32101800,27768000
BARMM,MAGUINDANAO,AMPATUAN,0.9550748752,0.9565366041,2956,650,3606,2808,636,3444,10789400,3250000,14039400,10249200,3180000,13429200,3250000
II,CAGAYAN,AMULUNG,0.9975636766,0.997808921,1714,7316,9030,1692,7316,9008,7113100,40238000,47351100,7009350,40238000,47247350,40238000
VIII,SOUTHERN LEYTE,ANAHAWAN,0.9851708575,0.9844488687,331,1220,1551,330,1198,1528,1208150,6100000,7308150,1204500,5990000,7194500,6100000
III,TARLAC,ANAO,0.9903614458,0.9904956527,385,1690,2075,380,1675,2055,1982750,10985000,12967750,1957000,10887500,12844500,10887500
I,PANGASINAN,ANDA,0.9993345755,0.9994568504,2314,5200,7514,2309,5200,7509,9603100,28600000,38203100,9582350,28600000,38182350,28600000
VII,BOHOL,ANDA,0.9990141308,0.9991883613,793,2250,3043,790,2250,3040,3687450,13500000,17187450,3673500,13500000,17173500,13500000
II,ISABELA,ANGADANAN,0.9992874109,0.9967973198,1669,6751,8420,1663,6751,8414,6926350,37130500,44056850,6785250,37130500,43915750,37130500
