region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
I,ILOCOS NORTE,ADAMS,1,1,174,271,445,174,271,445,722100,1490500,2212600,722100,1490500,2212600,1490500
IV-A,QUEZON,AGDANGAN,0.9963885879,0.9962186988,599,2170,2769,599,2160,2759,3084850,14105000,17189850,3084850,14040000,17124850,14105000
II,QUIRINO,AGLIPAY,0.8308238877,0.8146978503,1365,4546,5911,1359,3552,4911,5664750,25003000,30667750,5448950,19536000,24984950,25003000
I,PANGASINAN,AGNO,1,1,2203,3100,5303,2203,3100,5303,9142450,17050000,26192450,9142450,17050000,26192450,17050000
IV-A,BATANGAS,AGONCILLO,1,1,1478,4351,5829,1478,4351,5829,7611700,28281500,35893200,7611700,28281500,35893200,28281500
I,LA UNION,AGOO,0.8550967137,0.8488186257,2541,12400,14941,2539,10237,12776,10545150,68200000,78745150,10536850,56303500,66840350,68200000
I,PANGASINAN,AGUILAR,1,1,2708,5200,7908,2708,5200,7908,11238200,28600000,39838200,11238200,28600000,39838200,28600000
CAR,IFUGAO,AGUINALDO,0.9126237624,0.9048041658,1352,2688,4040,1352,2335,3687,5610800,14784000,20394800,5610800,12842500,18453300,12842500
IV-B,PALAWAN,AGUTAYA,0.9977365324,0.9980920819,1096,1113,2209,1091,1113,2204,4000400,5565000,9565400,3982150,5565000,9547150,5565000
VI,ILOILO,AJUY,0.9991491775,0.9997641527,3179,7399,10578,3170,7399,10569,14754450,44394000,59148450,14740500,44394000,59134500,44394000
BARMM,BASILAN,AKBAR,0.2486263736,0.2868509175,1245,211,1456,151,211,362,4544250,1055000,5599250,551150,1055000,1606150,1055000
BARMM,BASILAN,AL-BARKA,0.9113802996,0.9150078526,2775,362,3137,2497,362,2859,10128750,1810000,11938750,9114050,1810000,10924050,1810000
IV-A,QUEZON,ALABAT,0.9749925573,0.9737560563,762,2597,3359,762,2513,3275,3924300,16880500,20804800,3924300,16334500,20258800,16880500
XII,SARANGANI,ALABEL (Capital),0.9924489796,0.9938325448,5784,8916,14700,5673,8916,14589,21111600,44580000,65691600,20706450,44580000,65286450,44580000
XII,COTABATO (NORTH COTABATO),ALAMADA,0.9941784311,0.9953881678,3996,9746,13742,3916,9746,13662,14585400,48730000,63315400,14293400,48730000,63023400,48730000
IV-A,LAGUNA,ALAMINOS,1,1,726,6999,7725,726,6999,7725,3738900,45493500,49232400,3738900,45493500,49232400,45493500
VIII,LEYTE,ALANGALANG,0.9909243697,0.9922222672,6531,5369,11900,6423,5369,11792,23838150,26845000,50683150,23443950,26845000,50288950,26845000
VIII,LEYTE,ALBUERA,0.9792719919,0.9779111652,2483,7407,9890,2478,7207,9685,9062950,37035000,46097950,9044700,36035000,45079700,37035000
VII,BOHOL,ALBURQUERQUE,0.9989816701,0.9991928555,194,1770,1964,192,1770,1962,902100,10620000,11522100,892800,10620000,11512800,10620000
I,PANGASINAN,ALCALA,1.828380024,1.656658097,1610,6600,8210,8411,6600,15011,6681500,36300000,42981500,34905650,36300000,71205650,36300000
II,CAGAYAN,ALCALA,0.9957534579,0.9954477279,1230,7012,8242,1207,7000,8207,5104500,38566000,43670500,4971700,38500000,43471700,38566000
IV-B,ROMBLON,ALCANTARA,1,1,904,3179,4083,904,3179,4083,3299600,15895000,19194600,3299600,15895000,19194600,15895000
VII,CEBU,ALCANTARA,1,1,842,1641,2483,842,1641,2483,3915300,9846000,13761300,3915300,9846000,13761300,9846000
VII,CEBU,ALCOY,0.9974811083,0.9978822243,966,1813,2779,959,1813,2772,4491900,10878000,15369900,4459350,10878000,15337350,10878000
CARAGA,SURIGAO DEL NORTE,ALEGRIA,0.9963885879,1.222767839,1250,1519,2769,1240,1519,2759,4562500,7595000,12157500,7270800,7595000,14865800,7595000
VII,CEBU,ALEGRIA,0.9979209979,0.9981988917,1803,2045,3848,1795,2045,3840,8383950,12270000,20653950,8346750,12270000,20616750,12270000
XII,COTABATO (NORTH COTABATO),ALEOSAN,0.9971637911,0.9976960131,3177,5285,8462,3153,5285,8438,11596050,26425000,38021050,11508450,26425000,37933450,26425000
IV-A,CAVITE,ALFONSO,1,1,1253,6460,7713,1253,6460,7713,6452950,41990000,48442950,6452950,41990000,48442950,41990000
II,NUEVA VIZCAYA,ALFONSO CASTANEDA,0.8672475654,0.8602557424,412,1539,1951,410,1282,1692,1709800,8464500,10174300,1701500,7051000,8752500,8464500
CAR,IFUGAO,ALFONSO LISTA (POTIA),0.9658065537,0.9638320382,1405,4912,6317,1405,4696,6101,5830750,27016000,32846750,5830750,25828000,31658750,25828000
III,NUEVA ECIJA,ALIAGA,0.9983097401,0.9984915017,3032,11167,14199,3015,11160,14175,15614800,72585500,88200300,15527250,72540000,88067250,72540000
II,ISABELA,ALICIA,0.9995999733,0.9990163466,1729,13270,14999,1723,13270,14993,7175350,72985000,80160350,7096500,72985000,80081500,72985000
VII,BOHOL,ALICIA,1,1,1528,2801,4329,1528,2801,4329,7105200,16806000,23911200,7105200,16806000,23911200,16806000
IX,ZAMBOANGA SIBUGAY,ALICIA,0.9590558767,0.9318057663,4829,1399,6228,4574,1399,5973,17625850,6995000,24620850,15946850,6995000,22941850,6995000
I,ILOCOS SUR,ALILEM,1,1,560,700,1260,560,700,1260,2324000,3850000,6174000,2324000,3850000,6174000,3850000
VI,ILOILO,ALIMODIAN,0.9095683361,0.9055306267,1605,6202,7807,1581,5520,7101,7481850,37212000,44693850,7351650,33120000,40471650,37212000
IV-A,BATANGAS,ALITAGTAG,1,1,980,2897,3877,980,2897,3877,5047000,18830500,23877500,5047000,18830500,23877500,18830500
II,CAGAYAN,ALLACAPAN,0.8880553953,0.8838105339,932,6000,6932,919,5237,6156,3867800,33000000,36867800,3780650,28803500,32584150,33000000
VIII,NORTHERN SAMAR,ALLEN,0.9210585333,0.9137352161,1402,3057,4459,1402,2705,4107,5117300,15285000,20402300,5117300,13525000,18642300,15285000
VIII,SAMAR (WESTERN SAMAR),ALMAGRO,1,1,777,805,1582,777,805,1582,2836050,4025000,6861050,2836050,4025000,6861050,4025000
VIII,BILIRAN,ALMERIA,0.9960053262,0.9960010509,515,3240,3755,513,3227,3740,1879750,16200000,18079750,1872450,16135000,18007450,16200000
VII,CEBU,ALOGUINSAN,0.9996170783,0.9996847239,1363,3860,5223,1361,3860,5221,6337950,23160000,29497950,6328650,23160000,29488650,23160000
X,MISAMIS OCCIDENTAL,ALORAN,0.9911190053,0.992518944,1801,3266,5067,1756,3266,5022,8374650,19596000,27970650,8165400,19596000,27761400,19596000
VI,AKLAN,ALTAVAS,0.9989967394,0.9993686312,1350,2637,3987,1346,2637,3983,6272850,15822000,22094850,6258900,15822000,22080900,15822000
X,MISAMIS ORIENTAL,ALUBIJID,0.9996584699,0.9997118062,2123,3733,5856,2121,3733,5854,9871950,22398000,32269950,9862650,22398000,32260650,22398000
IV-A,CAVITE,AMADEO,1,1,622,4968,5590,622,4968,5590,3203300,32292000,35495300,3203300,32292000,35495300,32292000
